disciplina,nivel,pergunta,opcao_a,opcao_b,opcao_c,opcao_d,opcao_e,resposta
Biologia,Difícil,A mitose é essencial para o organismo porque permite:,reprodução sexuada,crescimento e reparo,produção de energia,digestão,respiração,b
Química,Fácil,Reações químicas são identificadas quando:,muda temperatura,surgem novas substâncias,muda o estado físico,aumenta volume,diminui massa,b
Física,Médio,A potência mede:,energia total,energia por tempo,força aplicada,massa,volume,b
Português,Médio,No texto de Clarice Lispector, a autora questiona características do gênero crônica, como:",relação distanciada entre os interlocutores,articulação de vários núcleos narrativos,brevidade no tratamento da temática,descrição minuciosa dos personagens,público leitor exclusivo,c
Inglês,Fácil,Na música Viva la Vida o eu lírico relata que:,costumava ter o mundo aos seus pés e perdeu tudo,almeja ser rei,não causa temor,virou rei após esforço,tinha a chave de todos castelos,a
Espanhol,Médio,No texto 'limpia' indica que o modelo também:,reduz mão de obra,inibe a corrupção,facilita controle de qualidade,modelo conciso,otimiza custos,b
História,Médio,Durante o governo Vargas destaca-se:,organizações paramilitares,posse de terras,leis trabalhistas com controle sindical,previdência rural,associações civis,c
Geografia,Médio,Exemplos de rochas ígneas e sedimentares:,II e III,I e II,III e I,II e I,I e III,e
Matemática,Fácil,Preço final após lucro de 25% e desconto de 10%:,90,92,94,96,98,b
Matemática,Difícil,Número mínimo de peças cortadas:,100,110,120,130,140,d